full_name,short_name,short_name_2,type,year,rate
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_37,2021,0.48
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_37,2016,0.605407676
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_37,2017,0.63
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_37,2018,0.51
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_37,2019,0.55
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_37,2020,0.68
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_37,2021,0.72
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_37,2016,0.49117248
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_37,2017,0.544559709
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_37,2018,0.518709589
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_37,2019,0.507394515
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_37,2020,0.5326
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_37,2021,0.60871174
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_37,2016,0.442599572
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_37,2017,0.438982416
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_37,2018,0.51460365
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_37,2019,0.597
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_37,2020,0.608
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_37,2021,0.605954368
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_37,2016,0.33401008
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_37,2017,0.358949064
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_37,2018,0.412994169
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_37,2019,0.455042252
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_37,2020,0.4175
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_37,2021,0.460393095
